[7.0, 12.0, 123.0, 153.0, 256.0, 110.0, 40.0, 15.0]
[7.0, 12.0, 285.0, 494.0, 713.0, 221.0, 38.0, 19.0]
[7.0, 12.0, 210.0, 330.0, 454.0, 149.0, 38.0, 17.0]
[7.0, 12.0, 136.0, 330.0, 323.0, 149.0, 38.0, 17.0]
[7.0, 12.0, 57.0, 92.0, 78.0, 42.0, 39.0, 13.0]
[7.0, 12.0, 48.0, 76.0, 58.0, 27.0, 40.0, 11.0]
[7.0, 12.0, 48.0, 76.0, 58.0, 27.0, 40.0, 11.0]
[8.0, 12.0, 41.0, 56.0, 36.0, 19.0, 43.0, 11.0]
[8.0, 12.0, 41.0, 56.0, 36.0, 19.0, 43.0, 11.0]
[8.0, 12.0, 41.0, 56.0, 36.0, 19.0, 43.0, 11.0]
[9.0, 13.0, 37.0, 41.0, 20.0, 15.0, 63.0, 11.0]
[9.0, 13.0, 37.0, 41.0, 20.0, 15.0, 63.0, 11.0]
[13.0, 15.0, 38.0, 40.0, 16.0, 16.0, 113.0, 11.0]
[15.0, 18.0, 37.0, 41.0, 15.0, 15.0, 156.0, 10.0]
[19.0, 28.0, 36.0, 40.0, 14.0, 17.0, 248.0, 11.0]
